district,month of 2018,avg-precipitation,avg-temperature,avg-sunshine
北京,1,0,-3.2,205.4
北京,2,0,-0.9,206
北京,3,4.1,8.3,218.8
北京,4,47.5,15.7,229.3
北京,5,9.3,22.3,227.8
北京,6,35.4,27.1,226.9
北京,7,309.1,28,159.1
北京,8,109.5,27.8,187.3
北京,9,25.4,21.4,214.2
北京,10,4.4,13,244.2
北京,11,1.6,5.7,173.1
北京,12,0.2,-2.5,191.6
